address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars,map_link
"Nerul, Goa, India",FALSE,15.50076,73.80018,Sea View Villa with infinity pool,10,11601,Entire villa,5.0,"https://www.google.com/maps?q=15.50076,73.80018"
"Nerul, Goa, India",TRUE,15.51149,73.78643,7BR Super Luxury Villa • 2 Private Pool • Candolim,16,10731,Entire villa,4.7,"https://www.google.com/maps?q=15.51149,73.78643"
"Nerul, Goa, India",FALSE,15.50637,73.79914,22BHK(5+5+6+6) PRIVATE POOL VILLA near CANDOLIM,16,12203,Entire villa,4.7,"https://www.google.com/maps?q=15.50637,73.79914"
"New Delhi, Delhi, India",TRUE,28.52394,77.13948,Villa spend time and make memories,10,11150,Entire villa,4.7,"https://www.google.com/maps?q=28.52394,77.13948"
"New Delhi, Delhi, India",FALSE,28.49507,77.13505,Brookwood Gardens Swimming Pool Villa 5 BHK,16,10421,Farm stay,4.6,"https://www.google.com/maps?q=28.49507,77.13505"
"New Delhi, Delhi, India",FALSE,28.44201,77.20986,The Tree House,2,10469,Treehouse,4.6,"https://www.google.com/maps?q=28.44201,77.20986"
"New Delhi, Delhi, India",FALSE,28.56747,77.16195,Cameo art house 1,2,10481,Private room in bed and breakfast,4.8,"https://www.google.com/maps?q=28.56747,77.16195"
"New Delhi, Delhi, India",FALSE,28.45914,77.20017,Golden Arch-5 Bedroom Farm House,10,11481,Entire villa,4.6,"https://www.google.com/maps?q=28.45914,77.20017"
"New Delhi, Delhi, India",FALSE,28.4439,77.20693,Iraluxe,4,12541,Farm stay,4.6,"https://www.google.com/maps?q=28.4439,77.20693"
"New Delhi, Delhi, India",FALSE,28.43781,77.18884,Farmhouse with pool for #photo shoot !!!,16,12601,Farm stay,4.6,"https://www.google.com/maps?q=28.43781,77.18884"
"New Delhi, Delhi, India",FALSE,28.64295,77.17428,Stay in heritage house in the heart of city,15,10601,Entire home,4.7,"https://www.google.com/maps?q=28.64295,77.17428"
"New Delhi, Delhi, India",FALSE,28.49231,77.21424,★ Farmhouse for your Socially-Distanced Parties ★,10,12613,Private room in farm stay,4.6,"https://www.google.com/maps?q=28.49231,77.21424"
"New Delhi, Delhi, India",FALSE,28.58985,77.24795,Colonial Bungalow in a serene locality in Delhi,15,11661,Entire bungalow,4.8,"https://www.google.com/maps?q=28.58985,77.24795"
"New Delhi, Delhi, India",FALSE,28.47924,77.15245,4bhk Luxury FarmVilla,8,11679,Entire villa,4.7,"https://www.google.com/maps?q=28.47924,77.15245"
"New Delhi, Delhi, India",FALSE,28.43926,77.18906,Farmhouse for corporate events and pool party !!!,16,11722,Farm stay,4.6,"https://www.google.com/maps?q=28.43926,77.18906"
"New Delhi, Delhi, India",FALSE,28.496,77.166,Brookwood Gardens Wedding Guest Rooms,16,12962,Farm stay,4.6,"https://www.google.com/maps?q=28.496,77.166"
"New Delhi, Delhi, India",FALSE,28.49204,77.13633,Brookwood Gardens Glasshouse Party Venue,16,12962,Farm stay,4.6,"https://www.google.com/maps?q=28.49204,77.13633"
"New Delhi, Delhi, India",FALSE,28.495,77.136,Brookwood Gardens Wedding Venue,16,11203,Farm stay,4.6,"https://www.google.com/maps?q=28.495,77.136"
"New Delhi, Delhi, India",FALSE,28.43832,77.18967,Farmhouse for wedding and pre-wedding function !!!,16,12203,Farm stay,4.6,"https://www.google.com/maps?q=28.43832,77.18967"
"New Delhi, Delhi, India",FALSE,28.44808,77.18313,PRE-WEDDING @ EXQUISITE PRIVATE FARM,16,13203,Farm stay,4.6,"https://www.google.com/maps?q=28.44808,77.18313"
"New Delhi, Delhi, India",FALSE,28.443,77.167,Farmhouse Gardens & Swimming Pool for film shoots,6,11503,Farm stay,4.6,"https://www.google.com/maps?q=28.443,77.167"
"New Delhi, Delhi, India",FALSE,28.49611,77.15379,Olive 8 Glasshouse,16,15608,Farm stay,4.6,"https://www.google.com/maps?q=28.49611,77.15379"
